subject_id,subject_name,grade,num_students,num_books,num_computers
MATH-G1,Mathematics,Grade 1,45,50,5
ENG-G1,English,Grade 1,45,48,5
CHI-G1,Chishona,Grade 1,45,46,0
SCI-G2,Science and Technology,Grade 2,42,45,4
SS-G2,Social Science,Grade 2,42,44,0
PEA-G2,Physical Education and Arts,Grade 2,42,20,0
MATH-G3,Mathematics,Grade 3,38,40,3
ENG-G3,English,Grade 3,38,40,3
CHI-G3,Chishona,Grade 3,38,38,0
SCI-G4,Science and Technology,Grade 4,35,38,4
SS-G5,Social Science,Grade 5,40,42,0
MATH-G6,Mathematics,Grade 6,33,35,2
